timestamp,side,quantity,price,calculated_amount,fee,PnL,Cumulative_PnL
2024-03-08 09:16:00,1,0.00099618,94093000,93733.56473999999,46.86,-93780.42473999999,4118997.3071800037
2024-03-08 09:16:00,1,0.00609497,94093000,573494.01221,286.74,-573780.75221,3545216.5549700037
2024-03-08 09:18:00,0,0.05,94003000,4700150.0,2350.07,4697799.93,8243016.484970003
2024-03-08 09:21:00,0,0.0107,94044000,1006270.7999999999,503.13,1005767.6699999999,9248784.154970003
2024-03-08 09:33:00,1,0.05,94099000,4704950.0,2352.47,-4707302.47,4541481.684970004
2024-03-08 09:47:00,1,0.045,94210000,4239450.0,2119.72,-4241569.72,299911.9649700038
2024-03-08 09:47:00,1,0.00512131,94228000,482570.79867999995,241.28,-482812.07868,-182900.11370999616
2024-03-08 09:48:00,0,0.05,94230000,4711500.0,2355.75,4709144.25,4526244.136290004
2024-03-08 09:48:00,0,0.05,94229000,4711450.0,2355.72,4709094.28,9235338.416290004
2024-03-08 10:01:00,1,0.05,94511000,4725550.0,2362.77,-4727912.77,4507425.646290004
2024-03-08 10:03:00,0,0.05,94374000,4718700.0,2359.35,4716340.65,9223766.296290005
2024-03-08 10:11:00,1,0.1,94439000,9443900.0,4721.95,-9448621.95,-224855.65370999463
2024-03-08 10:18:00,1,0.0229,94495000,2163935.5,1081.96,-2165017.46,-2389873.1137099946
2024-03-08 10:18:00,0,0.0074,94367000,698315.8,349.15,697966.65,-1691906.4637099947
2024-03-08 10:18:00,0,0.01546757,94368000,1459643.64576,729.82,1458913.82576,-232992.63794999477
2024-03-08 10:27:00,0,0.05,94303000,4715150.0,2357.57,4712792.43,4479799.792050005
2024-03-08 10:28:00,1,0.00819227,94374000,773137.28898,386.56,-773523.84898,3706275.9430700047
2024-03-08 10:28:00,1,0.04180773,94374000,3945562.7110200003,1972.78,-3947535.49102,-241259.54794999538
2024-03-08 10:54:00,0,0.02261087,94344000,2133199.91928,1066.59,2132133.32928,1890873.7813300048
2024-03-08 11:33:00,0,0.05,94386000,4719300.0,2359.65,4716940.35,6607814.131330004
2024-03-08 11:53:00,1,0.00508257,94489000,480246.95673,240.12,-480487.07673,6127327.054600004
2024-03-08 11:53:00,1,0.00206916,94489000,195512.85924,97.75,-195610.60924,5931716.445360004
2024-03-08 11:58:00,1,0.00386693,94564000,365672.36852,182.83,-365855.19852000003,5565861.246840004
2024-03-08 11:58:00,1,0.00010574,94564000,9999.19736,4.99,-10004.18736,5555857.059480004
2024-03-08 11:58:00,1,0.00621304,94564000,587529.9145600001,293.76,-587823.6745600001,4968033.384920004
2024-03-08 12:06:00,0,0.03381186,94518000,3195829.38348,1597.91,3194231.4734799997,8162264.858400004
2024-03-08 12:23:00,1,0.02443017,94848000,2317152.7641600003,1158.57,-2318311.33416,5843953.524240004
2024-03-08 12:23:00,1,0.00527211,94848000,500049.08928,250.02,-500299.10928000003,5343654.414960003
2024-03-08 12:23:00,1,0.00922787,94848000,875245.0137600001,437.62,-875682.6337600001,4467971.781200003
2024-03-08 12:23:00,1,0.00948846,94848000,899961.45408,449.98,-900411.43408,3567560.347120003
2024-03-08 12:23:00,1,0.00158139,94848000,149991.67872,74.99,-150066.66872,3417493.678400003
2024-03-08 12:24:00,1,0.0355154,94839000,3368245.0206000004,1684.12,-3369929.1406000005,47564.53780000238
2024-03-08 12:25:00,1,0.0034845999999999996,94839000,330475.97939999995,165.23,-330641.20939999993,-283076.67159999756
2024-03-08 12:40:00,0,0.03484821,94630000,3297686.1122999997,1648.84,3296037.2723,3012960.600700002
2024-03-08 12:47:00,0,0.02,94630000,1892600.0,946.3,1891653.7,4904614.300700002
2024-03-08 12:51:00,1,0.00515838,94794000,488983.47371999995,244.49,-489227.96371999994,4415386.336980002
2024-03-08 12:51:00,1,0.00105491,94794000,99999.13854,49.99,-100049.12854,4315337.208440002
2024-03-08 13:35:00,0,0.01365855,94598000,1292071.5129,646.03,1291425.4829,5606762.691340002
2024-03-08 13:55:00,1,0.00111039,94495000,104926.30304999999,52.46,-104978.76305,5501783.928290002
2024-03-08 13:55:00,1,0.00211642,94495000,199991.1079,99.99,-200091.0979,5301692.830390002
2024-03-08 14:19:00,0,0.02083966,94304000,1965263.2966399998,982.63,1964280.66664,7265973.497030001
2024-03-08 14:19:00,0,0.02006034,94304000,1891770.30336,945.88,1890824.4233600001,9156797.92039
2024-03-08 15:02:00,1,0.01058244,94449000,999500.8755600001,499.75,-1000000.6255600001,8156797.29483
2024-03-08 15:59:00,0,0.0107,94829000,1014670.2999999999,507.33,1014162.97,9170960.26483
2024-03-08 16:00:00,1,0.05,94988000,4749400.0,2374.7,-4751774.7,4419185.5648300005
2024-03-08 16:15:00,1,0.00451738,94761000,428071.44617999997,214.03,-428285.47618,3990900.0886500003
2024-03-08 16:45:00,0,0.03615818,94715000,3424722.0187,1712.36,3423009.6587,7413909.74735
2024-03-08 17:39:00,1,0.01392745,94675000,1318581.3287499999,659.29,-1319240.61875,6094669.1285999995
