timestamp|side|price|quantity|calculated_amount|fee|PnL|cumulative_PnL|current_quantity
2024-03-08 03:00:00|1|95066000|0.00032079|30496.222139999998|15.24|30480.982139999996|-9462462.50625|0.09967122000000005
2024-03-08 03:00:00|1|95066000|0.000663|63028.757999999994|31.51|62997.24799999999|-9399465.25825|0.09900822000000005
2024-03-08 03:00:00|1|95066000|0.00811825|771769.5545000001|385.88|771383.6745000001|-8628081.58375|0.09088997000000004
2024-03-08 03:00:00|1|95066000|0.04089796|3888005.46536|1944.0|3886061.46536|-4742020.11839|0.049992010000000045
2024-03-08 03:55:00|0|94925000|0.0041|389192.50000000006|194.59|-389387.0900000001|-5131407.20839|0.054092010000000045
2024-03-08 03:55:00|0|94925000|0.00601714|571177.0144999999|285.58|-571462.5944999999|-5702869.80289|0.06010915000000004
2024-03-08 03:55:00|0|94927000|0.03596206|3413770.4696199996|1706.88|-3415477.3496199995|-9118347.152509999|0.09607121000000005
2024-03-08 03:57:00|0|94930000|8.222e-05|7805.1446|3.9|-7809.044599999999|-9126156.19711|0.09615343000000004
2024-03-08 04:02:00|0|94982000|0.00087331|82948.73041999999|41.47|-82990.20042|-9209146.397529999|0.09702674000000004
2024-03-08 04:03:00|1|95189000|0.05|4759450.0|2379.72|4757070.28|-4452076.1175299985|0.04702674000000004
2024-03-08 04:05:00|1|95164000|0.00399502|380182.08328|190.09|379991.99328|-4072084.1242499985|0.04303172000000004
2024-03-08 04:05:00|1|95164000|0.04300498|4092525.9167199996|2046.26|4090479.65672|18395.532470001373|2.6740000000038955e-05
2024-03-08 04:08:00|0|95035000|0.02595302|2466445.2557|1233.22|-2467678.4757000003|-2449282.943229999|0.02597976000000004
2024-03-08 04:08:00|0|95035000|0.0037|351629.5|175.81|-351805.31|-2801088.253229999|0.02967976000000004
2024-03-08 04:08:00|0|95035000|0.02034698|1933675.2443000001|966.83|-1934642.0743000002|-4735730.327529999|0.05002674000000004
2024-03-08 04:27:00|1|94682000|0.05|4734100.0|2367.05|4731732.95|-3997.3775299992412|2.6740000000038955e-05
2024-03-08 05:33:00|1|95162000|0.01600681|1523240.05322|761.62|1522478.4332199998|1518481.0556900005|-0.01598006999999996
2024-03-08 05:33:00|0|95089000|0.02924048|2780448.0027199998|1390.22|-2781838.22272|-1263357.1670299994|0.013260410000000038
2024-03-08 05:35:00|1|94997000|0.002|189994.0|94.99|189899.01|-1073458.1570299994|0.011260410000000038
2024-03-08 05:37:00|0|94901000|0.00530898|503827.51097999996|251.91|-504079.42097999994|-1577537.5780099994|0.016569390000000038
2024-03-08 05:37:00|0|94901000|0.00050906|48310.30306|24.15|-48334.45306|-1625872.0310699993|0.017078450000000037
2024-03-08 05:37:00|0|94901000|0.00814137|772624.15437|386.31|-773010.4643700001|-2398882.4954399993|0.02521982000000004
2024-03-08 05:37:00|0|94901000|0.00817389|775710.3348899999|387.85|-776098.1848899999|-3174980.680329999|0.033393710000000035
2024-03-08 05:37:00|0|94901000|0.00068152|64676.929520000005|32.33|-64709.25952000001|-3239689.939849999|0.03407523000000003
2024-03-08 05:40:00|0|94905000|0.00263325|249908.59125000003|124.95|-250033.54125000004|-3489723.481099999|0.03670848000000003
2024-03-08 05:54:00|1|94921000|0.00105347|99996.42586999999|49.99|99946.43586999999|-3389777.045229999|0.03565501000000003
2024-03-08 05:54:00|0|94831000|0.05|4741550.0|2370.77|-4743920.77|-8133697.815229999|0.08565501000000003
2024-03-08 05:54:00|0|94832000|0.05|4741600.0|2370.8|-4743970.8|-12877668.615229998|0.13565501000000002
2024-03-08 05:55:00|1|94908000|0.00105347|99982.73075999999|49.99|99932.74075999999|-12777735.874469997|0.13460154000000002
2024-03-08 05:59:00|1|94800000|0.0449|4256520.0|2128.26|4254391.74|-8523344.134469997|0.08970154000000002
2024-03-08 05:59:00|1|94800000|0.00105485|99999.78|49.99|99949.79|-8423394.344469998|0.08864669000000003
2024-03-08 05:59:00|1|94804000|0.02000914|1896946.5085600002|948.47|1895998.0385600002|-6527396.305909998|0.06863755000000002
2024-03-08 05:59:00|1|94804000|0.00035595|33745.4838|16.87|33728.6138|-6493667.692109997|0.06828160000000003
2024-03-08 06:08:00|0|94331000|0.00581065|548124.42515|274.06|-548398.4851500001|-7042066.177259997|0.07409225000000003
2024-03-08 06:16:00|1|94516000|0.00105797|99995.09252|49.99|99945.10252|-6942121.074739997|0.07303428000000002
2024-03-08 06:19:00|1|94612000|0.05|4730600.0|2365.3|4728234.7|-2213886.374739997|0.023034280000000018
2024-03-08 06:21:00|1|94621000|0.023|2176283.0|1088.14|2175194.86|-38691.51473999722|3.428000000001846e-05
2024-03-08 06:23:00|0|94489000|0.02540767|2400745.33063|1200.37|-2401945.7006300003|-2440637.2153699975|0.02544195000000002
2024-03-08 06:23:00|0|94490000|0.00482483|455898.18669999996|227.94|-456126.12669999996|-2896763.3420699975|0.030266780000000017
2024-03-08 06:23:00|0|94489000|0.02459233|2323704.66937|1161.85|-2324866.51937|-5221629.861439997|0.054859110000000016
2024-03-08 06:23:00|0|94490000|0.04517517|4268601.8133000005|2134.3|-4270736.1133|-9492365.974739999|0.10003428000000002
2024-03-08 06:24:00|1|94593000|0.04908028|4642650.926039999|2321.32|4640329.606039999|-4852036.3686999995|0.05095400000000002
2024-03-08 06:24:00|1|94593000|0.00042286|39999.59598|19.99|39979.60598|-4812056.762719999|0.05053114000000002
2024-03-08 06:24:00|1|94593000|7.4e-05|6999.882|3.49|6996.392|-4805060.370719999|0.050457140000000025
2024-03-08 06:24:00|1|94593000|0.00021143|19999.79799|9.99|19989.807989999998|-4785070.562729999|0.05024571000000003
2024-03-08 06:24:00|1|94593000|0.00021143|19999.79799|9.99|19989.807989999998|-4765080.75474|0.05003428000000003
2024-03-08 06:25:00|0|94469000|0.01064547|1005666.90543|502.83|-1006169.73543|-5771250.49017|0.06067975000000003
2024-03-08 06:25:00|0|94469000|0.0018|170044.19999999998|85.02|-170129.21999999997|-5941379.71017|0.062479750000000035
2024-03-08 06:25:00|0|94469000|0.00010364|9790.767160000001|4.89|-9795.65716|-5951175.36733|0.06258339000000003
